semana,fecha_inicio,gasto_usd,alcance,impresiones,reproducciones_3s,porcentaje_video_visto,visitas_perfil,clics_landing,formularios,cpl_usd,leads_calificados,llamadas_agendadas,llamadas_realizadas,propuestas,ventas,cac_usd,mejor_creativo,objecion_principal,lugares_restantes,decision_semanal
1,,,,,,,,,,,,,,,,,,,7,
2,,,,,,,,,,,,,,,,,,,7,
3,,,,,,,,,,,,,,,,,,,7,
4,,,,,,,,,,,,,,,,,,,7,
5,,,,,,,,,,,,,,,,,,,7,
6,,,,,,,,,,,,,,,,,,,7,
7,,,,,,,,,,,,,,,,,,,7,
8,,,,,,,,,,,,,,,,,,,7,
9,,,,,,,,,,,,,,,,,,,7,
10,,,,,,,,,,,,,,,,,,,7,
11,,,,,,,,,,,,,,,,,,,7,
12,,,,,,,,,,,,,,,,,,,7,
